CODE,SECTION,TYPE,DAY,START,END,ROOM,NAME,PROFESSOR
CHM8301,A,Lecture 1,3,10:00,11:30,MNT 204,ANALYTICAL MASS SPECTROMETRY,Sharon Curtis
CHM8301,A,Lecture 2,5,14:30,16:00,MNT 204,ANALYTICAL MASS SPECTROMETRY,Sharon Curtis
CHM8302,B,Lecture 1,2,11:30,13:00,FSS 4013,ADV TOPICS IN INORGANIC CHEM,Sandro Gambarotta
CHM8302,B,Lecture 2,4,11:30,13:00,MRT 252,ADV TOPICS IN INORGANIC CHEM,Sandro Gambarotta
CHM8302,D,Lecture 1,1,17:30,19:00,VNR 3035,ADV TOPICS IN INORGANIC CHEM,Deryn Fogg
CHM8302,D,Lecture 2,4,17:30,19:00,VNR 3035,ADV TOPICS IN INORGANIC CHEM,Deryn Fogg
CHM8304,A,Lecture 1,2,10:00,11:30,VNR 1075,ADVANCED TOPICS IN ORGANIC CHM,William Ogilvie
CHM8304,A,Lecture 2,4,08:30,10:00,MRT 219,ADVANCED TOPICS IN ORGANIC CHM,William Ogilvie
CHM8304,VI,Lecture 1,2,16:00,19:00,VNR 4084,ADVANCED TOPICS IN ORGANIC CHM,Not available at this time.
CHM8304,VI,Lecture 2,3,16:00,19:00,VNR 4084,ADVANCED TOPICS IN ORGANIC CHM,Not available at this time.
CHM8308,,Lecture 1,2,08:30,10:00,VNR 3076,MULTINUCLEAR MAG RESON SPECT,Glenn Facey
CHM8308,,Lecture 2,4,08:30,10:00,MNT 204,MULTINUCLEAR MAG RESON SPECT,Glenn Facey
CHM8309,B,Lecture 1,4,08:30,11:30,VNR 4084,ADV TOPICS - PHYS/THEORET CHM,David Bryce
CLA5901,A,Seminar 1,2,08:30,11:30,SMD 226,RECH. SCIEN. / SCHOL. RES. I,Karin Schlapbach
CLA5922,A,Seminar 1,4,08:30,11:30,DMS 11143,PAIEN &amp; CHRETIEN/PAGAN &amp; CHRIS,Dominique Côté
CMM5302,,Lecture 1,2,08:30,11:30,RGN 3001,COMPREHENSIVE PHARMACOLOGY I,Simon Lemaire
CMM5304,,Lecture 1,2,13:00,16:00,RGN 2111,INTRO. TO DEVELOPMENTAL BIO.,Barbara Vanderhyden
CMM5311,,Lecture 1,5,09:00,12:00,RGN 2111,ENERGY METABOL. &amp; MUSCLE FUNC.,Jean-Marc Renaud
CMM5372,,Lecture 1,1,09:00,12:00,RGN 3001,CELL SIGNAL. &amp; HORMONE ACTION,Nadine Wiper Bergeron
CMM8300,,Seminar 1,3,09:00,12:00,Consult the department,REPRODUCTIVE &amp; DEVELOP. BIO.,Barbara Vanderhyden
CMM8310,,Lecture 1,4,13:00,16:00,RGN 3001,CURRENT TOPIC RNA MOLEC. BIO.,Jocelyn Côté
CMM8324S,,Seminar 1,5,13:00,16:00,Consult the department,SEMINARS 1,Not available at this time.
CMM8325S,,Seminar 1,5,13:00,16:00,Consult the department,SEMINARS II,Not available at this time.
CMN5100,B,Seminar 1,1,19:00,22:00,DMS 11161,RESEARCH METHODS,Rukhsana Ahmed
CMN5100,C,Seminar 1,1,19:00,22:00,DMS 10161,RESEARCH METHODS,Kyle Conway
CMN5130,B,Seminar 1,3,08:30,11:30,LMX 243,Diversity in the Workplace: Co,Peruvemba Jaya S.
CMN5131,B,Seminar 1,4,14:30,17:30,DMS 11161,ORGANIZATIONAL COMM. THEORIES,Peruvemba Jaya S.
CMN5132,B,Seminar 1,2,08:30,11:30,TBT 323,THEORIES &amp; EFFECTS OF MEDIA,Boulou Ebanda De B'Beri
CMN5142,B,Lecture 1,1,08:30,11:30,STT 125,RISK AND CRISIS COMMUNICATION,Mahmoud Eid
CMN5165,B,Seminar 1,5,14:30,17:30,THN 133,New Directions in Journalism,Patrick McCurdy
CMN5190,B,Seminar 1,5,08:30,11:30,LEE B152,Media, Identity and Diversity,Boulou Ebanda De B'Beri
CMN5500,B,Seminar 1,1,19:00,22:00,DMS 9161,MÉTHODES DE RECHERCHE,Luc Bonneville
CMN5530,B,Seminar 1,3,08:30,11:30,THN 133,Diversité au travail : défis c,Martine Lagacé
CMN5531,B,Seminar 1,4,14:30,17:30,DMS 10161,THÉORIES DE COMMUNIC. ORGANI.,Sylvie Grosjean
CMN5550,B,Seminar 1,2,14:30,17:30,DMS 10143,Gestion des connaissances,Pierre Lévy
CRM6325,A,Lecture 1,2,08:30,11:30,FSS 14005,RESEARCH SEMINAR IN CRIM.,Maritza Felices-Luna
CRM6325,B,Lecture 1,2,08:30,11:30,Consult the department,RESEARCH SEMINAR IN CRIM.,Maritza Felices-Luna
CRM6340,A,Seminar 1,3,08:30,11:30,FSS 14001,INTERVENT.CRIMINOL.ALTERN.PRAC,Laura Shantz
CRM6345,A,Seminar 1,4,14:30,17:30,FSS 14001,FIELD PLACEMENT SEMINAR,Geneviève Nault
CRM6350,A,Seminar 1,1,08:30,11:30,FSS 14005,CONTEMPORARY CRIMINOL THEORIES,Michael Kempa
CRM6380,A,Seminar 1,5,11:30,14:30,FSS 14005,SELECTED TOPICS I,Jonathan Frauley
CRM6380,B,Seminar 1,1,14:30,17:30,FSS 14005,SELECTED TOPICS I,Prashan Ranasinghe
CRM6725,A,Lecture 1,2,11:30,14:30,DMS 11143,SÉMINAIRE DE RECHERCHE CRIM.,Patrice Corriveau
CRM6725,B,Lecture 1,2,11:30,14:30,Consult the department,SÉMINAIRE DE RECHERCHE CRIM.,Patrice Corriveau
CRM6740,A,Lecture 1,1,11:30,14:30,FSS 14005,INTERVENTION CRIMINOL.PRAT.ALT,Bastien Quirion
CRM6745,A,Seminar 1,4,14:30,17:30,FSS 14005,SÉMINAIRE DE STAGE,Joanne Cardinal
CRM6750,A,Lecture 1,2,08:30,11:30,FSS 14001,THÉORIES CRIMINOL. CONTEMPOR.,Françoise Vanhamme
CRM6780,A,Lecture 1,3,11:30,14:30,FSS 14005,SUJETS CHOISIS I,Patrice Corriveau
CRM6780,B,Seminar 1,5,14:30,17:30,FSS 14005,SUJETS CHOISIS I,Alice Jaspart
CRM8100,A,Lecture 1,2,11:30,14:30,FSS 14005,DOCTORAL SEMINAR,Steven Bittle
CRM8102,A,Seminar 1,3,14:30,17:30,FSS 14005,CURRENT ISSUES IN CRIMINOLOGY,Jonathan Frauley
CRM8110,A,Seminar 1,4,11:30,14:30,FSS 14005,RESEARCH METHODOLOGY CRIM. II,Christine Bruckert
CRM8500,A,Lecture 1,5,08:30,11:30,FSS 14005,SÉMINAIRE DE DOCTORAT I,Martin Dufresne
CRM8502,A,Seminar 1,3,14:30,17:30,FSS 14001,QUEST. ACTUELLES EN CRIMINOL.,Véronique Strimelle
CRM8510,A,Seminar 1,3,08:30,11:30,FSS 14005,MÉTHOD. RECHERCHE EN CRIM. II,Alvaro Pires
CSI5105,,Lecture 1,5,14:30,17:30,VNR 3035,NETWORK SECURITY &amp; CRYPTOGRAPH,Carlisle Adams
CSI5110,,Lecture 1,1,08:30,10:00,STE J0106,PRINCI. OF FORMAL SOFT. DEVE.,Amy Felty
CSI5110,,Lecture 2,4,10:00,11:30,STE J0106,PRINCI. OF FORMAL SOFT. DEVE.,Amy Felty
CSI5134,,Lecture 1,4,17:30,20:30,STE J0106,FAULT TOLERANCE,Amiya Nayak
CSI5140,F,Lecture 1,1,11:30,13:00,STE F0126,SELECTED TOP. IN COMPUTER SC.,Amy Felty
CSI5140,F,Lecture 2,4,13:00,14:30,STE F0126,SELECTED TOP. IN COMPUTER SC.,Amy Felty
CSI5147,,Lecture 1,3,14:30,17:30,LEE A131,COMPUTER ANIMATION,Wonsook Lee
CSI5148,,Lecture 1,5,17:30,20:30,STE H0104,WIRELESS AD HOC NETWORKING,Amiya Nayak
CSI5151,,Lecture 1,2,11:30,13:00,SMD 224,VIRTUAL ENVIRONMENTS,Jochen Lang
CSI5151,,Lecture 2,5,13:00,14:30,SMD 224,VIRTUAL ENVIRONMENTS,Jochen Lang
CSI5165,,Lecture 1,1,10:00,13:00,LPR 285,COMBINATORIAL ALGORITHMS,Lucia Moura
CSI5174,,Lecture 1,3,17:30,20:30,LMX 390,VALIDA. METHODS DIST. SYSTEMS,Gregor Bochmann
CSI5308,,Lecture 1,1,13:00,14:30,LEE B152,PRINCIPLES DISTRIBUTED COMPU.,Paola Flocchini
CSI5308,,Lecture 2,3,11:30,13:00,LEE B152,PRINCIPLES DISTRIBUTED COMPU.,Paola Flocchini
CSI5380,,Lecture 1,1,19:00,22:00,STE H0104,SYS.&amp;ARCHITEC.; FOR ELECT.COMM.,Hussein Al Osman
CSI5387,,Lecture 1,3,14:30,17:30,STE F0126,DATA MINING &amp; CONCEPT LEARNING,Nathalie Japkowicz
CSI5902,F,Seminar 1,5,10:00,11:30,LEE A131,SEMINAR / SEMINAIRE,Wonsook Lee
CSI7163,,Lecture 1,4,19:00,22:00,STE B0138,ADV.TOP. IN COMPUTER SYSTEMS,Abdulmotaleb El Saddik
CVG5124,F,Lecture 1,2,19:00,22:00,MCD 146,COASTAL ENGINEERING,Ioan Nistor
CVG5133,F,Lecture 1,3,13:00,14:30,STE J0106,SOLID WASTE DISPOSAL,Majid Sartaj
CVG5133,F,Lecture 2,5,11:30,13:00,STE J0106,SOLID WASTE DISPOSAL,Majid Sartaj
CVG5137,F,Lecture 1,1,14:30,16:00,MCD 121,WATER WASTEWATER TREAT PRO ANA,Roberto Narbaitz
CVG5137,F,Lecture 2,4,16:00,17:30,MCD 121,WATER WASTEWATER TREAT PRO ANA,Roberto Narbaitz
CVG5144,F,Lecture 1,2,19:00,22:00,MRT 211,ADVANCED REINFORCED CONCRETE,Murat Saatcioglu
CVG5149,F,Lecture 1,1,13:00,14:30,VNR 1075,Stability of Structures,Magdi Mohareb
CVG5149,F,Lecture 2,3,11:30,13:00,VNR 1075,Stability of Structures,Magdi Mohareb
CVG5156,F,Lecture 1,5,08:30,11:30,LMX 219,FINITE ELEMENT METHODS,Beatriz Martin-Perez
CVG5175,F,Lecture 1,5,17:30,20:30,VNR 1075,NUM. METHODS FOR GEOTECH. ENG.,Jules-Ange Infante
CVG5366,F,Seminar 1,5,13:00,16:00,LEE A130,MASTER'S SEMINAR IN CIVIL ENG.,Not available at this time.
