CODE,SECTION,TYPE,DAY,START,END,ROOM,NAME,PROFESSOR
ELG4115,A,Lecture 1,2,11:30,13:00,VNR 5040,MICROWAVE CIRCUITS,Pierre Berini
ELG4115,A,Lecture 2,5,13:00,14:30,VNR 5040,MICROWAVE CIRCUITS,Pierre Berini
ELG4115,A,Laboratory 1,4,10:00,13:00,CBY B519,MICROWAVE CIRCUITS,Not available at this time.
ELG4115,A,Laboratory 2,2,17:30,20:30,CBY B519,MICROWAVE CIRCUITS,Not available at this time.
ELG4115,A,Tutorial 1,3,08:30,10:00,KED B015,MICROWAVE CIRCUITS,Not available at this time.
ELG4118,A,Lecture 1,2,10:00,11:30,KED B015,WAVE PROPAGATION AND ANTENNAS,Derek McNamara
ELG4118,A,Lecture 2,4,08:30,10:00,KED B015,WAVE PROPAGATION AND ANTENNAS,Derek McNamara
ELG4118,A,Laboratory 1,1,14:30,17:30,CBY B520,WAVE PROPAGATION AND ANTENNAS,Not available at this time.
ELG4118,A,Tutorial 1,1,08:30,10:00,CBY B202,WAVE PROPAGATION AND ANTENNAS,Not available at this time.
ELG4126,A,Lecture 1,3,10:00,11:30,KED B015,SUST.ELECTRICAL POWER SYSTEM,Henry Schriemer
ELG4126,A,Lecture 2,5,08:30,10:00,KED B015,SUST.ELECTRICAL POWER SYSTEM,Henry Schriemer
ELG4126,A,Laboratory 1,3,13:00,14:30,CBY B402,SUST.ELECTRICAL POWER SYSTEM,Not available at this time.
ELG4126,A,Tutorial 1,1,16:00,17:30,CBY E015,SUST.ELECTRICAL POWER SYSTEM,Not available at this time.
ELG4137,A,Lecture 1,1,13:00,14:30,STE J0106,PRINC. &amp; APPLIC. VLSI DESIGN,Tet Yeap
ELG4137,A,Lecture 2,3,11:30,13:00,STE J0106,PRINC. &amp; APPLIC. VLSI DESIGN,Tet Yeap
ELG4137,A,Laboratory 1,3,17:30,20:30,STE 0131,PRINC. &amp; APPLIC. VLSI DESIGN,Not available at this time.
ELG4137,A,Tutorial 1,2,13:00,14:30,CBY B02,PRINC. &amp; APPLIC. VLSI DESIGN,Not available at this time.
ELG4157,A,Lecture 1,2,19:00,22:00,LPR 155,MODERN CONTROL ENGINEERING,Riadh Habash
ELG4157,A,Laboratory 1,5,11:30,14:30,CBY B402,MODERN CONTROL ENGINEERING,Not available at this time.
ELG4157,A,Tutorial 1,5,16:00,17:30,STE A0150,MODERN CONTROL ENGINEERING,Not available at this time.
ELG4159,A,Lecture 1,3,16:00,17:30,LPR 154,INTEGRATED CONTROL SYSTEMS,Wail Gueaieb
ELG4159,A,Lecture 2,5,14:30,16:00,LPR 154,INTEGRATED CONTROL SYSTEMS,Wail Gueaieb
ELG4159,A,Laboratory 1,1,17:30,20:30,STE 2061,INTEGRATED CONTROL SYSTEMS,Not available at this time.
ELG4159,A,Tutorial 1,3,14:30,16:00,LMX 390,INTEGRATED CONTROL SYSTEMS,Not available at this time.
ELG4177,A,Lecture 1,2,16:00,17:30,STE F0126,DIGITAL SIGNAL PROCESSING,Nicolas Nasri Ellaham
ELG4177,A,Lecture 2,4,14:30,16:00,STE F0126,DIGITAL SIGNAL PROCESSING,Nicolas Nasri Ellaham
ELG4177,A,Laboratory 1,3,10:00,11:30,STE 2060,DIGITAL SIGNAL PROCESSING,Not available at this time.
ELG4177,A,Tutorial 1,2,08:30,10:00,LPR 285,DIGITAL SIGNAL PROCESSING,Not available at this time.
ELG4178,A,Lecture 1,3,16:00,17:30,STE J0106,OPTICAL COMMUNIC. &amp; NETWORKING,Pierre Berini
